00:55.9	41.78541	116.3907	-19.6527	-7.187274	0	2	河北省       	承德市       	丰宁满族自治县   
03:12.5	41.68431	116.595	-20.22976	-5.394603	0	5	河北省       	承德市       	丰宁满族自治县   
03:12.6	41.83742	116.3095	-25.32266	-8.103251	0	2	河北省       	承德市       	丰宁满族自治县   
03:14.2	35.45909	111.788	-45.06822	-19.22911	55.63239	6	山西省       	运城地区      	绛县        
03:41.5	35.54281	111.6011	-30.25763	-14.34436	0	2	山西省       	运城地区      	绛县        
03:52.4	35.43874	110.8999	-44.51943	-17.80777	166.8971	6	山西省       	运城地区      	万荣县       
04:27.6	42.31501	116.4998	-20.9819	-8.138433	69.19001	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
04:34.7	40.53824	115.7033	54.3894	7.103921	69.8748	6	河北省       	张家口市      	怀来县       
06:08.8	41.11361	115.4537	77.86916	8.519019	69.6542	6	河北省       	张家口市      	崇礼县       
06:09.1	41.10726	115.4334	-33.60373	-7.168795	0	5	河北省       	张家口市      	崇礼县       
09:01.7	41.14067	115.3934	42.88594	5.489401	69.64384	6	河北省       	张家口市      	崇礼县       
10:20.9	40.91179	115.2482	-55.92969	-7.954445	42.04251	6	河北省       	张家口市      	崇礼县       
10:20.9	40.90115	115.2539	-46.18423	-7.882109	69.73596	6	河北省       	张家口市      	崇礼县       
10:21.7	40.91571	115.2369	-49.84489	-9.666888	69.73027	6	河北省       	张家口市      	崇礼县       
11:26.9	39.23699	115	-27.27238	-10.90895	0	2	河北省       	保定地区      	易县        
12:58.2	42.26145	116.5342	-38.35715	-7.793199	69.21068	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
13:49.7	40.13023	115.9296	53.49986	3.913133	70.03006	6	北京市       	北京市县      	昌平县       
14:14.8	39.96994	115.8792	174.2198	13.19535	0	6	北京市       	北京市市辖区    	北京市市辖区    
14:14.8	39.98307	115.8604	153.9082	14.37974	70.08616	6	北京市       	北京市市辖区    	北京市市辖区    
16:45.4	41.40381	114.994	-32.05184	-12.06657	278.1619	6	河北省       	张家口市      	张北县       
17:14.9	41.1464	115.5144	38.92527	5.931469	69.64182	6	河北省       	张家口市      	崇礼县       
17:58.2	40.59515	115.5023	-32.47038	-8.842998	69.85304	6	河北省       	张家口市      	赤城县       
18:19.1	41.02906	115.4345	41.43639	4.048746	69.68697	6	河北省       	张家口市      	崇礼县       
19:21.6	39.9941	115.9249	131.2563	16.47137	70.08184	6	北京市       	北京市市辖区    	北京市市辖区    
20:48.4	40.17759	115.633	99.32387	8.097742	70.01208	6	河北省       	张家口市      	怀来县       
22:17.7	40.41938	115.4831	-22.75672	-6.332304	69.92018	6	河北省       	张家口市      	怀来县       
25:57.5	40.60548	116.0257	93.99437	12.53258	69.8491	6	河北省       	张家口市      	赤城县       
26:06.4	39.75635	116.0116	130.5668	24.57727	172.29	6	北京市       	北京市市辖区    	北京市市辖区    
26:06.5	39.73536	115.988	44.72969	9.234517	70.18002	6	北京市       	北京市市辖区    	北京市市辖区    
26:38.4	39.74074	116.1648	126.64	18.84875	70.17802	6	北京市       	北京市市辖区    	北京市市辖区    
26:38.4	39.83103	114.8117	94.00224	23.59272	0	2	河北省       	张家口市      	蔚县        
26:38.6	39.75663	116.1571	-30.74718	-9.839099	0	5	北京市       	北京市市辖区    	北京市市辖区    
27:10.7	41.17197	115.3732	-48.12677	-6.76948	0	6	河北省       	张家口市      	崇礼县       
27:22.4	39.74012	116.0049	159.0173	17.24934	70.17815	6	北京市       	北京市市辖区    	北京市市辖区    
27:24.2	40.60723	116.0099	60.85343	14.16225	42.23547	6	河北省       	张家口市      	赤城县       
27:24.2	40.60223	116.0112	89.6561	13.66188	55.63223	6	河北省       	张家口市      	赤城县       
28:05.6	41.57547	115.1364	-23.11006	-7.584839	222.5295	6	河北省       	张家口市      	沽源县       
29:07.2	40.34856	115.5874	-45.52554	-6.333988	69.94722	6	河北省       	张家口市      	怀来县       
29:09.5	39.72588	116.0567	276.5654	23.1375	70.18369	6	北京市       	北京市市辖区    	北京市市辖区    
32:20.4	41.50969	115.125	249.8453	17.57154	69.502	6	河北省       	张家口市      	沽源县       
32:20.4	41.60332	114.5593	148.2133	15.05659	41.59963	6	河北省       	张家口市      	康保县       
32:50.5	40.28362	115.6225	-40.30676	-10.52911	69.97186	6	河北省       	张家口市      	怀来县       
34:00.5	40.63689	116.0763	62.15744	8.374898	0	6	河北省       	张家口市      	赤城县       
34:27.2	39.69818	116.1412	42.59871	12.39235	70.19397	6	北京市       	北京市市辖区    	北京市市辖区    
34:40.3	39.96929	115.9854	48.11914	9.05772	0	5	北京市       	北京市市辖区    	北京市市辖区    
35:04.7	41.51145	115.0924	-22.06493	-7.84531	166.8971	6	河北省       	张家口市      	沽源县       
35:53.9	40.65934	116.0999	82.56654	9.521187	69.82855	6	河北省       	张家口市      	赤城县       
36:23.7	39.9779	116.005	70.72318	12.75009	0	6	北京市       	北京市市辖区    	北京市市辖区    
36:32.6	40.37156	115.6553	-29.8948	-7.503008	69.93838	6	河北省       	张家口市      	怀来县       
36:32.9	40.37307	115.6581	-25.61945	-8.862945	0	5	河北省       	张家口市      	怀来县       
36:33.4	40.46199	115.7496	-21.91568	-9.049056	0	2	河北省       	张家口市      	怀来县       
